,processed_problem,processed_action
4934,at least 3 instances throughout flight the engine vibrated,ran a/c could not duplicate remved cowl cked compr
4935,at least 3 instances throughout flight the engine vibrated,ran engine again operational safety section check good maintenance flight to be performe
4936,engine started fine ran at 1000 rpm went to lean engine,performed seasonal adjustment of idle speed mixture
4937,3 intake leaking,removed replaced gasket
4938,2 3 rocker cover gaskets need to be replaced,removed replaced gaskets
4939,3 intake leaking on r/h engine,removed replaced gasket
4940,2 3 4 intakes leaking on l/h engine,removed replaced gaskets
4941,2 rocker cover leaking,removed replaced gasket
4942,3 intake leaking on r/h engine,removed replaced gasket
4943,intake 2 3 leaking on l/h engine,removed replaced gaskets
4944,r/h rear engine baffle screw missing,installed new screw
4945,3 cylinder rocker cover exhaust gas temperature  stand off broken,removed replaced stand off
4946,r/h engine 3 intake gasket leaking,removed replaced gasket
4947,3 upper baffle seal missing on r/h engine,replaced baffle seal
4948,loose screw on forward oil cooler shroud,tightened screw
4949,2 4 intercylinder baffle cracked,stop drilled crack
4950,l/h baffle plug damaged,replaced baffle plug
4951,4 intake oil leak,inspected found oil leak to be residual cleaned area
4952,3 intake leaking,removed replaced intake gasket
4953,1 2 3 rocker covers leaking,removed replaced gaskets
4954,throttle loose at dash,tightened backing nut
4955,grounding area for new engine needs paint removed,cleaned paint away both sides of area
4956,forward l/h engine baffle needs small patch over large crack stop,installed patch over area like material srm channel 5171
4957,engine chip detectors removed waiting for orings,received orings reinstalled chip plugs safetied
4958,during auto recovery engine rpm got to 3500,changed oil filter
4959,3 rocker cover gasket leaks,removed replaced 3 rocker cover gasket leak check good
4960,during auto recovery engine rpm got to 3500,reviewed determined to be 8 overspeed began
4961,during auto recovery engine rpm got to 3500,removed exhaust performed to cylinder 1 complet
4962,during auto recovery engine rpm got to 3500,removed rocker covers 2 4 side baffles performed s
4963,during auto recovery engine rpm got to 3500,installed l/h r/h side baffles rocker covers clamps
4964,2 intake leaking,replaced gasket
4965,r/h rear engine baffle mount loose,resecured engine baffle mount
4966,2 intake gasket leaking,removed replaced gasket
4967,1 rocker cover gasket leaking,removed replaced gasket
4968,sniffler valves need to be cleaned,cleaned valves
4969,forward engine black seal needs rtv where intake hits it,installed rtv in worn areas
4970,paint was not remvoed around engine grounding point,removed paint installed grd wire
4971,baffle screw by oil dipstick missing,removed dipstick tube installed new screw installed t
4972,both baffle plugs worn engine,removed replaced both baffle plugs
4973,r/h baffle tie broken,installed new baffle tie
4974,2 4 intake gaskets leaking,replaced gaskets
4975,l/h engine center case bolt leaking oil,leak check good
4976,r/h engine 3 cylinder has low compression 16/80,operational safety section leak check good
4977,l/h engine center case bolt leaking oil,removed bolt cleaned case installed torqued sealed
4978,r/h engine 3 cylinder has low compression 16/80,removed replaced cylinder piston w/ new iaw lycoming dir
4979,rpm went to red,removed fdm card found to be less than 5 no defects
4980,throttle idle engine shut down,performed ground run could not duplicate operational safety section good
4981,3 intake tube gasket leaking,installed new intake gasket
4982,hardware missing 3 baffle,installed new hardware
4983,4 intake gasket leaks,removed replaced gasket
4984,2 4 intake gaskets leaking,replaced gaskets
4985,2 intake leaking,installed new gasket
4986,intakes 2 3 4 leaking on l/h engine,removed replaced gaskets
4987,4 3 intake leaking on r/h engine,removed replaced intake gaskets
4988,crack on bottom o/b corner of aft baffle l/h oil cooler,stop drilled crack
4989,bracket broken for 4 baffle,fabricated new bracket for 4 baffle
4990,clip for oil baffle cooler bracket worn,fabricated clip installed
4991,1 intake gasket leaking,installed new gasket
4992,4 intake leaking on l/h engine,replaced intake gasket
4993,1 3 intakes leaking on r/h engine,replaced intake gaskets
4994,1 rocker cover leaking on r/h engine,removed replaced rocker cover gasket
4995,engine baffle plugs worn,removed replaced both baffle plugs
4996,2 intake gasket leaking,removed replaced gasket
4997,1 4 intake gaskets leaking,removed replaced gaskets
4998,1 2 intakes leaking,removed replaced gaskets
4999,engine to baffle attach fitting missing screw,replaced screw
5000,2 intake leaking,installed new gasket
5001,baffle screw missing above 2 cylinder,installed screw
5002,3 intake gasket leaks,removed replaced gasket
5003,1 3 rocker cover gaskets leak,removed replaced gaskets
5004,screw for r/h aft baffle behind oil dipstick loose,tightened screw
5005,grounding wire to engine paint not removed and bolt loose,removed paint secured bolt
5006,black baffle seal forward engine has small worn spot on l/h side,installed rtv to worn area
5007,engine baffle plugs worn,removed replaced plugs
5008,1 3 rocker cover gaskets leaking,removed replaced gaskets
5009,r/h rear baffle mounting screw missing,installed new screw
5010,2 intake leaks,removed replaced gasket
5011,both engine baffle plugs worn,replaced w/ new
5012,screw behind engine oil dipstick loose,tightened screw
5013,black forward seal has worn spots,installed rtv to worn areas
5014,l/h engine cylinder 4 intake gasket leaking,removed replaced w/ new gasket
5015,1 baffle plug damaged,removed replaced baffle plug
5016,rpm 2700 for 2 second,read fdm card data found to be less than 5 no defect
5017,prop overspeed 2750 for 5 secs,inspected data on card rpm found to 27034 no action
5018,unusual attitude power was added engine reached approx 280,continued started
5019,unusual attitude power was added engine reached approx 280,completed ran engine operational safety section leak check
5020,unusual attitude power was added engine reached approx 280,reviewed lycoming determined overspeed to fall
5021,baffle screw missing on 3 cylinder,installed new screw
5022,rivet head sheared on alternator air door,removed rivet installed new rivet iaw channel
5023,r/h engine 2 intake leaking,replaced gasket
5024,2 4 intakes leaking on left engine,replaced gaskets
5025,3 baffle screw missing,replaced screw
5026,forward sniffler valve leaking oil/fuel there a 6 puddle,inspected sniffler valves no defects noted removed serial number
5027,4 intake leaking,removed replaced gasket
5028,1 forward baffle seal loose,resecured seal
5029,r/h 2 4 rocker cover gaskets leaking,removed replaced w/ new gaskets
5030,4 intake leaking,removed replaced intake gasket
5031,l/h engine 4 intake gasket leaking,replaced gasket
5032,1 baffle plug damaged,replaced plug
5033,4 rocker cover gasket leaking,replaced gasket
5034,baffle screws loose on 3 cylinder baffle,leak check good
5035,3 4 intake gaskets leaking,removed replaced gaskets
5036,baffle seal rivet pulled through on 3 cylinder,replaced w/ bigger rivet
5037,2 4 rocker cover gaskets leaking,removed replaced w/ new gaskets
5038,baffle screws loose on 3 cylinder baffle,partially removed 3 cylinder baffling secured screws oil
5039,l/h engine 3 intake gasket leaks,removed replaced intake gasket
5040,r/h engine 2 cylinder baffle seal loose,tightened rivets on seal
5041,r/h engine 2 3 intake leaking,removed replaced gaskets
5042,2 intake leaking on l/h engine,replaced 2 intake gasket
5043,forward baffle seal loose 1 cylinder,resecured baffle material
5044,4 intake gasket leaking,removed replaced gasket
5045,rocker cover screw missing on 2 cylinder,installed new screw on rocker cover
5046,oil leak discovered on 2 cylinder,installed new 2 rocker box cover gasket resafetied bo
5047,2 4 intakes leaking,removed replaced gaskets
5048,oil leak on right forward cylinder intake tube,replaced leaking rocker cover gasket
5049,high cylinder head temps over 400,cleaned debris from cooler system inspected cylinders
5050,4 cylinder rocker cover gasket leaking,replaced gasket
5051,oil coming out of top l/h cowling,ran up a/c leak check good
5052,oil coming out of top l/h cowling,removed cowling cleaned engine
5053,oil coming out of top l/h cowling,performed ground run verified oil leakage lifting ey
5054,r/h engine over temperature 503,performed ground run all systems check good cked compre
5055,2 3 4 intake gaskets on r/h engine leaking,removed replaced gaskets
5056,intake gasket leaking on l/h engine 4 cylinder,removed replaced w/ new gasket
5057,l/h engine 2 cylinder compression low,ran a/c leak check good
5058,r/h engine 4 cylinder aft baffle has screw missing,replaced screw
5059,l/h engine 2 cylinder compression low,removed forward exhaust assembly 2 cylinder baffles r/h side in
5060,forward baffle by 2 cylinder cracked,stop drilled crack
5061,2 4 intakes leaking,removed replaced gaskets
5062,4 cylinder intake leak,removed replaced gasket
5063,prop strike requiring replacement of prop,removed cowl removed accessory housing removed cranks
5064,prop strike requiring replacement of prop,assembled accessory case installed fuel pump vac pump
5065,intakes 2 4 leaking,removed replaced intake gaskets
5066,prop overspeed in down draft 2730 rpm 23 secs,pulled analyzed sd card to find top overspeed of 2722
5067,4 cylinder baffle section damaged,removed replaced baffle
5068,engine grounding bolt loose,tightened bolt
5069,r/h engine 3 intake gasket leaking,removed replaced intake gasket
5070,all hose clamps on rocker drains loose,tightened all hose clamps
5071,2 3 4 intakes leaking,removed replaced gaskets
5072,1 cylinder baffle seal needs to be secured,resecured seal w/ pop rivets
5073,l/h engine 3 rocker cover gasket leaks,removed replaced gasket
5074,l/h engine baffle seal loose by 4 cylinder,riveted baffle seal to baffle
5075,standoff on cylinder 3 broken,removed replaced standoff
5076,2 4 intake gaskets leaking,removed replaced gaskets
5077,both engine baffle plugs worn,installed 2 new plugs
5078,black forward seal on engine worn in spots loose on l/h side,applied rtv to worn areas secured loose section
5079,during flight l/h engine was running rough could not get v,magnetos timing cked good bore scoped cylinder 4 no defects n
5080,during flight l/h engine was running rough could not get v,performed ground run no defects noted pulled engine d
5081,during run up brought throttle to idle engine shut down,ran a/c found low idle speed adjusted idle speed op
5082,baffle plugs worn,removed replaced baffle plugs
5083,l/h engine 2 4 intake gaskets leak,replaced both intake gaskets
5084,4 intake gasket leaking,removed replaced gasket
5085,baffle seal loose on forward bottom r/h side,secured baffle seal
5086,3 intake leaking,removed replaced gasket
5087,engine was sputtering like it was going to cut out at 1000 r,ran up engine could not duplicate discrep engine runs
5088,stuck valve on 3 cylinder damage to push rod housing,reasssembled cylinder
5089,stuck valve on 3 cylinder damage to push rod housing,leak operational safety section check good
5090,stuck valve on 3 cylinder damage to push rod housing,removed cylinder assembly installed new cylinder assembly using servicea
5091,3 2 intake gaskets leaking,removed replaced gaskets
5092,sniffler valves dirty,cleaned sniffler valves
5093,4 cylinder intake gasket leaks,replaced gasket
5094,2 4 upper leads need to be secured at battery cooling,used tie wrap stand off secured
5095,2 intake gasket leaking,replaced gasket
5096,r/h engine 2 intake gasket leaking,installed new intake gasket
5097,3 baffle needs to be patched button plug hole has worn too,installed riveted patch replaced both baffle plugs
5098,2 intake leaking on r/h engine,removed replaced gasket
5099,3 4 intakes leaking on l/h engine,removed replaced gaskets
5100,4 intake gasket leaking,removed replaced gasket
5101,oversped prop to 2720 rpm for approx 1 second,removed data card from a/c downloaded data c/w lycom
5102,r/h engine 3 intake gasket leaks,removed replaced gasket
5103,2 front baffle cracked,stop drilled crack
5104,r/h engine baffle access hole elongated,installed a riveted patch
5105,1 cylinder baffle unsecure,secured w/ rivets in 4 places
5106,4 intake gasket leaks,removed replaced gasket
5107,4 intake leaking,replaced gasket
5108,4 intake gasket leaking,replaced gasket
5109,rough running engine on start up,found 2 exhaust guide tight w/ carbon reamed all exhaust
5110,2 3 intake gaskets leaking,removed replaced intake gaskets
5111,impeller dirty,cleaned impeller
5112,prop was oversped to 2720 for 6 seconds,removed data card reviewed information found overspe
5113,r/h baffle seal by 2 cylinder torn,removed torn baffle seal
5114,r/h 2 rocker cover gasket leaks,removed replaced gasket
5115,r/h baffle seal by 2 cylinder torn,made new seals installed
5116,r/h 3 intake gasket leaking,removed replaced w/ new gasket
5117,l/h engine o/b baffle tie rod broken,installed new baffle tie rod
5118,r/h 1 3 oil return lines loose,repositioned tightened 1 3 oil return line clamps
5119,1 intake leaking,removed replaced gasket leak check good
5120,forward r/h baffle needs to be sealed,sealed baffle
5121,4 intake gasket leaking,removed replaced gasket
5122,upon engine start up when increasing throttle to 1200 to leading-edge,ran a/c performed fouled plug procedure operational safety section good ran
5123,forward baffling aft of alternator cracked,stop drilled crack
5124,r/h baffle spring pulled through aft baffling,drilled new hole installed new spring
5125,4 intake gasket leaks,removed replaced gasket
5126,2 4 intakes leaking,removed replaced gaskets
5127,baffle plugs worn,removed replaced baffle plugs
5128,4 intake gasket leaking,removed replaced gasket
5129,3 intake leaking,removed replaced gasket
5130,l/h baffle cracked by 3 cylinder,stop drilled crack
5131,l/h 3 intake gasket leaking,removed replaced gasket
5132,l/h engine runs 2700 r/h only 2600,adjusted fine adjustment screw on governor 4 turns coun
5133,1 intake leaking,removed replaced gasket
5134,1 4 rocker covers leaking,removed replaced gaskets
5135,engine baffle seal loose by 1 cylinder,resecured baffle seal
5136,on climb out had an audible rpm drop loss of 400 rpm engine,performed ground run unable to duplicate performed cuttoff
5137,engine ran very rough a few different times in pattern rpm,ran a/c performed magnetos check several times no defects r
5138,oil breather leaking,removed cowling cleaned engine ran a/c found access
5139,oil breather leaking,removed oil sump replaced gasket reinstalled oil sump
5140,cylinder 4 intake gasket leaking,removed replaced gasket
5141,prop overspeed to 2630,inspected data from fdm card found to be 26678 which
5142,3 aft baffle cracked,stop drilled crack
5143,r/h forward engine baffle cracked,stop drilled crack
5144,r/h baffle by 1 cylinder cracked,stop drilled crack
5145,r/h 1 2 intake gaskets leaking,removed replaced intake gaskets
5146,l/h engine 2 cylinder compression low,operational safety section leak check good
5147,l/h engine 2 cylinder compression low,removed hardware attaching components to 2 cylinder remo
5148,oil cooler weather stripping loose,reattached weather stripping
5149,baffling cracked on 1 cylinder,stop drilled crack
5150,2 intake tube gasket leaking,installed new intake gasket
5151,3 rocker box cover gasket leaking,replaced 3 rocker box gasket
5152,r/h rear engine baffle mount rivets broken,removed cylinder 3 aft baffle replaced damaged fasteners
5153,2 intake leaking,removed replaced intake gasket
5154,rocker cover screw missing,replaced missing screw
5155,2 cylinder intake leaking,removed replaced gasket
5156,l/h 4 rocker cover gasket leaks,removed replaced gasket
5157,after engine start engine was running rough below 1000 rpm,ran a/c no defects noted performed phase 4 insp
5158,4 intake leaking,removed replaced gasket
5159,l/h o/b baffle tie rod broken,replaced tie rod
5160,front lower baffle has hole in it from muffler shroud,fabricated baffle of like material installed
5161,l/h forward baffle cracked,repaired baffle w/ doubler
5162,l/h forward baffle cracked,reinstalled repaired baffle
5163,l/h forward baffle cracked,removed baffle extra time needed for paperwork errors
5164,forward baffle seal missing from muffler intake on baffle,installed new baffle seal
5165,r/h rear baffle has sheared rivet,removed baffle drilled out rivets reinstalled w/ scr
5166,1 3 4 rocker covers leaking,removed replaced gaskets
5167,r/h engine aft baffle cracked near oil cooler,stop drilled crack
5168,r/h engine r/h baffle tie rod requires adjustment,adjusted tie rod
5169,r/h engine 3 intake gasket leaking,removed replaced intake gasket
5170,1 cylinder wire standoff broken,removed replaced standoff
5171,3 cylinder intake gasket leaking,removed replaced gasket
5172,3 cylinder push rod exhaust housing gasket leaking,leak check good
5173,engine rpm would not stabilize constently varying studder,could not duplicate discrep
5174,3 cylinder push rod exhaust housing gasket leaking,installed new seals on push rod tube reassembled
5175,during entire flight l/h rpm would increase significantly r,performed full ground run operational safety section cked good insp l/h engine
5176,intakes 2 3 4 leaking,replaced intake gaskets
5177,1 rocker cover gasket leaks,removed replaced gasket
5178,r/h rear engine baffle mount loose,removed engine baffle tightened screws reinstalled e
5179,3 intake leaking,removed replaced gasket
5180,sniffler valves dirty,cleaned sniffler valves
5181,engine air filter dirty,removed replaced engine air filter next due 7/31/17
5182,oil pressure sender ground strap not connected,reconnected oil psi sender ground strap
5183,both baffle plugs broken,replaced both baffle plugs
5184,baffle seal by 1 cylinder loose,riveted baffle seal to baffle
5185,1 2 intakes leaking,removed replaced gaskets
5186,l/h engine 2 3 intake gaskets leaking,replaced both gaskets
5187,2 intake leaking,removed replaced gasket
5188,2 4 intakes leaking,removed replaced gaskets
5189,r/h engine 3 intake tube gasket leaking,removed replaced w/ new gasket
5190,baffle wire broken,removed replaced baffle tie
5191,bracket for baffle behind oil tube cracked,removed replaced bracket
5192,4 cylinder aft baffle cracked,drilled off cracked portion of baffle fabricated piece
5193,3 cylinder side aft baffles cracked,fabricated patch of like material on aft baffle rivet
5194,4 intake leaking,removed replaced gasket
5195,1 rocker cover leaking,removed replaced gasket
5196,r/h aft baffle screw loose,resecured screw
5197,during climb out the engine ran rough sputtering was also n,performed ground run of a/c no defects found inspecte
5198,l/h engine 4 cylinder baffle wire standoff broken,seecured wires to oil pan
5199,2 cylinder on l/h engine baffle seal needs to be secured,secured baffle seal w/ pop rivets
5200,4 rocker cover gasket leaking on l/h engine,removed replaced w/ new silicone gasket
5201,4 intake gasket leaking on l/h engine,removed replaced w/ new intake gasket found primer l
5202,1 cylinder baffle seal needs to be replaced on l/h engine,removed old seal installed new seal
5203,cowl seal missing/loose on lower r/h engine,reglued in position
5204,2 intake gasket leaking,removed replaced gasket
5205,r/h engine carburetor heat box arm loose,resecured carburetor heat box arm
5206,carburetor inlet gaskets leaking on both engines,removed replaced l/h gasket
5207,carburetor inlet gaskets leaking on both engines,removed replaced r/h gasket
5208,2 intake gasket leaking,removed replaced gasket
5209,l/h inner engine baffle tie disconnected,reconnected baffle tie
5210,4 intake gasket leaking,replaced gaskets leak check good
5211,baffle plugs loose patches needed,installed baffle patches
5212,2 intake leaking,removed replaced intake gasket
5213,engine ran rough after start up w/ gains drops of about 8,performed ground run operational safety section cked good no defects noted
5214,3 4 intakes leaking,replaced intake gaskets
5215,idle low,performed seasonal adjustment operational safety section good
5216,during post flight found oil on intake pipes,cleaned oil ran a/c no leaks noted found oil to be r
5217,l/h engine 2 intake gasket leaking,removed replaced intake gasket
5218,r/h engine 4 intake gasket leaking,removed replaced intake gasket
5219,r/h engine 3 rocker cover gasket leaking,removed cover found debris under silicone gasket clea
5220,oil leak above l/h magnetos,leak check good
5221,both oil coolers dirty,cleaned oil coolers
5222,sniffler valves dirty,cleaned sniffler valves
5223,oil leak above l/h magnetos,removed replaced gasket
5224,1 4 intakes have evidence of leaking,removed replaced gaskets
5225,rough engine on take off,ran up to check for rough running after take off mags check
5226,rough engine on take off,for billing purposes only
5227,engine idle speed 1650 rpm,adjusted idle
5228,baffle plugs loose,installed baffle plug patches new plugs
5229,4 intake leaking,removed replaced gasket
5230,oil cooler dirty,cleaned oil cooler
5231,1 4 intakes leaking on r/h engine,removed replaced gaskets
5232,intakes 2 3 4 leaking on l/h engine,removed replaced intake gaskets
5233,r/h air intake hose not hooked up,reinstalled scat tubing tightened clamp
5234,2 intake gasket leaking,replaced gasket
5235,baffle seal above 3 cylinder loose,resecured baffle seal
5236,l/h aft stand off broken,replaced stand off
5237,inner baffle tie disconnected,reattached baffle tie
5238,2 3 rocker covers leaking,removed replaced gaskets
5239,2 intake leaking,replaced gasket
5240,r/h aft baffle bracket has broken rivets,removed baffle removed replaced damaged rivets rein
5241,3 cylinder rocker cover missing screw,installed missing screw
5242,rough engine,for billing purposes only
5243,rough engine,removed engine cylinder top bottm spark plugs cleaned
5244,4 intake leaking l/h engine,replaced gasket
5245,r/h engine 2 cylinder intake gasket leaking,installed new gasket
5246,after start up engine died,ran up warmed up engine no defects noted operational safety section cked
5247,r/h engine backbone bolt leaks a little oil,leak check good
5248,r/h engine 1 2 intakes leaking,removed replaced gaskets
5249,r/h engine 4 rocker cover leaking,removed replaced gasket
5250,r/h engine backbone bolt leaks a little oil,cleaned out installed sealant
5251,3 cylinder has low compression,oil has been drained
5252,3 cylinder has low compression,operational safety section leak check good removed replaced push rod remove
5253,3 cylinder has low compression,removed cylinder transferred injector cylinder head temperature probe to o
5254,any increase in throttle would cause sputter drop in rpm,performed ground run w/ engine at operating temperature all e
5255,4 intake gasket leaks,removed replaced gasket
5256,4 intake gasket leaking,installed new gasket
5257,after storage run needed,ran a/c all checks good
5258,2 cylinder compression low,run up leak check good
5259,baffle tie rod in between 1 3 cylinder not hoooked up,installed baffle rod
5260,2 cylinder compression low,removed baffling for 2 cylinder attaching parts removed
5261,r/h engine r/h aft engine baffle cracked,stop drilled crack
5262,l/h engine 3 4 intake tube gaskets leaking,installed new gaskets
5263,r/h engine 3 intake tube gasket leaking,removed replaced gasket w/ new
5264,4 intake gasket leaking,removed replaced w/ new gasket
5265,r/h engine 1 intake leaking,removed replaced gasket w/ new
5266,3 4 l/h rocker covers leaking,removed replaced gaskets w/ new
5267,2 cylinder valve sticking,ran a/c operational safety section leak check good cowled a/c
5268,2 cylinder valve sticking,removed 2 cylinder top plug found valve contacted piston
5269,2 cylinder valve sticking,removed 2 cylinder baffling intake exhaust oil return t
5270,during climb out l/h engine shuttered 3 times each time right pattern,ran a/c could not duplicate all checks good
5271,2 baffle seal loose,removed rivet replaced w/ screw lock nut
5272,baffle plug broken,removed replaced baffle plug
5273,baffle seal on 1 cylinder needs to be secured,secured baffle seal w/ new rivets
5274,3 intake leaking,removed replaced gasket
5275,forward baffle cracked under the alternator,stop drilled crack
5276,r/h rear engine baffle mount loose,installed new screws nut to secure baffle mount
5277,4 intake leaking,removed replaced gasket
5278,when climbing heard engine w/ some noise engine made a thu,inspected engine no defects ran a/c all systems w/in
5279,r/h rear engine baffle screw loose,tightened screw
5280,2 intake tube leaking,removed replaced w/ new gasket
5281,after engine rotor run up rpm dropped 250 continued to,completed assembly of engine ran up engine operational safety section leak check
5282,after engine rotor run up rpm dropped 250 continued to,performed lycoming found 2 4 exhaust valve g
5283,r/h engine baffle seal loose above 4 cylinder,resecured baffle seal
5284,l/h engine cylinder 2 intake gasket leaking,removed replaced gasket w/ new
5285,1 4 intakes leaking,replaced gaskets
5286,black forward lower engine seal worn at air intake filter,applied rtv to forward lower baffle seal
5287,r/h engine 1 intake leaking,removed replaced gasket
5288,4 intake gasket leaks,removed replaced gasket
5289,3 intake tube gasket leaking,removed replaced intake gasket w/ new
5290,4 cylinder baffle plug tabs broken,removed replaced plug
5291,both baffle plugs damaged,removed replaced plugs
5292,a/c needs after storage run,ran a/c all checks good
5293,a/c after storage run needed,ran a/c all checks good
5294,during flight high oil psi occurred when exercise prop oi,ran a/c operational safety section check good
5295,r/h engine 4 aft baffle seal loose,installed washer rivet
5296,r/h engine 1 side baffle seal worn,removed replaced baffle seal w/ new
5297,baffle plugs worn,removed replaced plugs
5298,alternate air door spring weak,replaced air intake assembly
5299,3 rocker cover leaking,removed replaced rocker cover gasket
5300,baffle plugs worn,removed replaced both baffle plugs
5301,4 intake leaking r/h engine,replaced gasket
5302,low compression 40/80 on 3 cylinder air leaking from exhaust,began replacement of cylinder replaced old cylinder w/
5303,low compression 40/80 on 3 cylinder air leaking from exhaust,chased threads on intake port to clean threads install
5304,4 intake gasket leaking,replaced gasket
5305,2 4 intakes leaking,removed replaced intake gaskets
5306,l/h engine 3 cylinder compression low,ran up engine operational safety section leak check good
5307,l/h engine 3 cylinder compression low,removed 3 cylinder baffling connecting components and har
5308,3 intake leaking,removed replaced w/ new gasket
5309,both baffle plugs damaged,removed replaced baffle plugs
5310,during flight engine rpm was 2740 for 3 seconds,removed sd card c/w lycoming overspeed consi
5311,low compression on 3 cylinder,staked valve compression came up to 72/80
5312,both baffle plugs damaged,removed replaced baffle plugs
5313,large pool of oil under engine oil has been added last 2 da,ran a/c no leaks noted observed a/c for several hours
5314,3 4 cylinder intake tube inserts in sump loose,removed intake tubes
5315,3 4 cylinder intake tube inserts in sump loose,reswaged intake tube inserts
5316,3 4 cylinder intake tube inserts in sump loose,installed 3 4 intake tubes w/ new gaskets ran a/c
5317,l/h engine 2 cylinder intake gasket leaking,replaced gasket
5318,reached 2720 rpm for about 2 seconds,removed sd card found max rpm to be less than 5 rate
5319,after engine start there was engine vibration suspect cylinder,inspected found 4 piston smiled near exhaust valve
5320,after engine start there was engine vibration suspect cylinder,removed 4 cylinder assembly began installation of new cylinder 4
5321,after engine start there was engine vibration suspect cylinder,cylinder installation done iaw lycoming overhaul manual a/c
5322,after engine start there was engine vibration suspect cylinder,finished installation of cylinder installed push rods roc
5323,4 rocker cover gasket leaking,removed replaced gasket
5324,3 intake gasket leaking,replaced gasket
5325,all rocker cover gaskets leak,removed replaced all rocker cover gaskets
5326,screw missing on 2 rocker cover,replaced w/ new screw
5327,during steep turns engine began to struggle coughed often,removed bottom plugs 4 cylinder top plug bore scoped 4
5328,during steep turns engine began to struggle coughed often,bled lifter reinstalled w/ new push rod seals reinsta
5329,during steep turns engine began to struggle coughed often,performed ground run verified engine ran w/ a slight m
5330,during steep turns engine began to struggle coughed often,installed 28 exhaust valve push rod clearance cked g
5331,during steep turns engine began to struggle coughed often,finished reinstallation of plugs leads 4 rocker cov
5332,oil cooler clogged dirty between fins,removed clog
5333,during late takeoff roll pattern engine sounded like it w,ran a/c confirmed discrep performed compression check f
5334,during late takeoff roll pattern engine sounded like it w,removed baffling 2 intake 2 exhaust 2 injector li
5335,oil temperature light inoperable,reinstalled lamp in back of gauge operational safety section check good
5336,l/h engine data plate rivets missing,installed new rivets
5337,in cruise on way to practice area engine rpm dropped the,ran a/c all checks good
5338,forward lower black seal has worn spots form intake filter bracket,applied black silicone to baffle seal
5339,2 3 4 intake gaskets leaking,replaced gaskets
5340,large puddle of liquid under engine,removed cowling washed engine cowls ran a/c found n
5341,on start up engine ran very rough tried to increase power,performed ground run verified discrep ran rough in al
5342,on start up engine ran very rough tried to increase power,performed compression check 3 cylinder had zero psi reamed a
5343,after engine start up noticed vibration rough running engine,run up leak check good
5344,after engine start up noticed vibration rough running engine,removed replaced cylinder 3 w/ new iaw lycoming overhaul
5345,after engine start up noticed vibration rough running engine,performed ground run engine ran rough magnetos switch sele
5346,after engine start up noticed vibration rough running engine,reamed 1 4 exhaust valve guides iaw lycoming
5347,l/h 2 intake leaking,replaced intake gasket
5348,r/h 2 intake leaking,replaced intake gasket
5349,3 intake tube gasket leaking,installed new intake gasket
5350,3 baffle bracket missing hardware,reinstalled hardware
5351,both baffle plugs damaged,removed replaced baffle plugs
5352,top case bolt leaking,sealed bolt leak check good
5353,both baffle plugs damaged,replaced w/ new baffle plugs
5354,2 intake gasket leaks,removed replaced w/ new gasket
5355,3 intake tube gasket leaking,removed replaced gasket
5356,1 cylinder baffle cracked,fabricated patch w/ like material riveted iaw
5357,oil cooler dirty,cleaned cooler
5358,baffle seal loose forward of 1 cylinder,reattached baffle
5359,r/h engine fire seal loose on bottom cowl,resecured seal
5360,silicone needed on top of oil cooler against cowl,applied silicone
5361,l/h engine i/b intake screen panel chafing,applied chafe tape to panel
5362,cowling seal needs to be resecured lower aft,resecured seal on l/h lower aft cowling
5363,ground power check needed l/h r/h engines,capped bleed performed ground power performance check s
5364,lower forward engine cowl needs doubler on guide hole for top cuttoff,installed doubler on i/b aft alignment pin hole
5365,verify condition of r/h engine for mismatch w/ l/h engine,removed power section from r/h engine visually inspect
5366,r/h baffle tie broken,removed replaced baffle tie
5367,both baffle plugs damaged,removed replaced baffle plugs
5368,2 intake missing outer nut,installed baffle
5369,2 intake missing outer nut,removed l/h upper baffle l/h muffler replaced 2 inta
5370,1 2 rocker gaskets leaking,replaced gaskets
5371,2 4 intake gaskets leaking,replaced gaskets
5372,2 cylinder rocker cover seal leaks,leak check good
5373,2 cylinder rocker cover seal leaks,replaced gasket
5374,engine grounding bolt by oil tube loose,tightened bolt
5375,all 4 intakes leaking on r/h engine,removed replaced gaskets
5376,2 3 4 intakes leaking on l/h engine,removed replaced w/ new gaskets
5377,2 intake gasket leaking,removed replaced gasket
5378,momentarily exceeded 2700 rpm during recovery of simulated e,reviewed flight data monitoring card found overspeed t
5379,l/h engine cylinder 3 2 4 intake gaskets leaking,replaced gaskets
5380,r/h engine cylinder 2 3 4 intake gaskets leaking,replaced 2 gasket
5381,r/h engine cylinder 2 3 4 intake gaskets leaking,replaced 3 4 gaskets
5382,r/h engine cylinder 2 has possible crack by intake port,inspected performed dye pe insp verified to not be cr
5383,during flight a/c would intermittently lose power on l/h engine,borescoped 1 cylinder for valve contact w/ piston for possi
5384,2 intake gasket leaking,removed replaced w/ new gasket
5385,during engine start engine running there were vibration s,performed ground no defects noted all engine ground r
5386,during engine start engine running there were vibration s,for engine change ran engine no defe
5387,engine groundin strap bolt loose,tightened bolt
5388,foreign object damage aft of spinner,removed foreign object damage
5389,screw missing from 3 rocker cover,reinstalled screw
5390,cylinder 4 intake gasket leaking,removed replaced gasket w/ new
5391,4 intake leaking,removed replaced gasket
5392,2 intake gasket leaking,replaced gasket
5393,screw missing on 3 cylinder baffling,replaced screw
